Config,AR,TTA_Scales,TTA_Views,Internal_AUC,Internal_Accuracy,Internal_F1,Internal_Sensitivity,Internal_Specificity,Diveshzz_AUC,Diveshzz_Accuracy,Diveshzz_F1,Diveshzz_Sensitivity,Diveshzz_Specificity,ThyroidPretrain_AUC,ThyroidPretrain_Accuracy,ThyroidPretrain_F1,ThyroidPretrain_Sensitivity,ThyroidPretrain_Specificity,Timestamp
A1S1V1,A1,"[0.85, 1.0, 1.15]",3,0.9532391844954459,0.904,0.933240611961057,0.9179206566347469,0.8661710037174721,0.8244150886097916,0.765008025682183,0.7074340527577938,0.731404958677686,0.7863517060367454,0.829677178321488,0.7505488474204172,0.7989382879893829,0.9016475287069395,0.5661182205971969,2026-09-07T14:36:02.728012
A1S1V1,A1,"[0.85, 1.0, 1.15]",3,0.9531425607331201,0.903,0.9325920778318276,0.9179206566347469,0.862453531598513,0.8243712717728466,0.7634028892455859,0.7057884231536926,0.7305785123966942,0.784251968503937,0.8295459005276362,0.7491767288693744,0.7979664014146772,0.9011482775836246,0.5636806825106643,2026-09-07T15:25:34.064279
A2S1V1,A2,"[0.85, 1.0, 1.15]",3,0.9514541876230046,0.897,0.928719723183391,0.9179206566347469,0.8401486988847584,0.8266458428233661,0.7630818619582664,0.7073750991276765,0.7371900826446282,0.7795275590551181,0.8221522073988347,0.7447859495060373,0.7976501305483029,0.9151273090364453,0.5368677635588056,2026-09-07T15:40:08.415325
A3S1V1,A3,"[0.85, 1.0, 1.15]",3,0.9467959051866619,0.888,0.9218967921896792,0.9042407660738714,0.8438661710037175,0.8254545454545454,0.7592295345104334,0.7042586750788643,0.7380165289256199,0.7727034120734908,0.8206182499559619,0.7497255762897914,0.7978723404255319,0.8986520219670494,0.5679463741620963,2026-09-07T15:54:37.286776
A4S1V1,A4,"[0.85, 1.0, 1.15]",3,0.9532391844954459,0.904,0.933240611961057,0.9179206566347469,0.8661710037174721,0.8244150886097916,0.765008025682183,0.7074340527577938,0.731404958677686,0.7863517060367454,0.829677178321488,0.7505488474204172,0.7989382879893829,0.9016475287069395,0.5661182205971969,2026-09-07T16:09:36.305504
A1S2V1,A1,"[0.8, 1.0, 1.2]",3,0.9526594419214907,0.905,0.9338900487125957,0.9179206566347469,0.8698884758364313,0.8246441508860979,0.7653290529695024,0.7074829931972789,0.7305785123966942,0.7874015748031497,0.8291733636595686,0.7478046103183315,0.7969958029600177,0.9006490264603095,0.5612431444241316,2026-09-07T16:50:09.400721
A2S2V1,A2,"[0.8, 1.0, 1.2]",3,0.9518254262887831,0.894,0.9265927977839336,0.9151846785225718,0.8364312267657993,0.8236216134140257,0.7624398073836276,0.7068145800316957,0.7371900826446282,0.7784776902887139,0.8212020786614106,0.743688254665203,0.7969565217391305,0.9151273090364453,0.534430225472273,2026-09-08T13:37:14.975460
A3S2V1,A3,"[0.8, 1.0, 1.2]",3,0.9458194966410528,0.891,0.9239357990230286,0.905608755129959,0.8513011152416357,0.8257330643586906,0.7576243980738363,0.7019344650611923,0.7347107438016529,0.7721784776902887,0.819584152108218,0.7469813391877058,0.7960176991150443,0.8981527708437343,0.5624619134673979,2026-09-08T13:51:26.544915
A4S2V1,A4,"[0.8, 1.0, 1.2]",3,0.9526594419214907,0.905,0.9338900487125957,0.9179206566347469,0.8698884758364313,0.8246983796446933,0.7643659711075441,0.7064,0.7297520661157024,0.7863517060367454,0.8289184139695392,0.7489023051591658,0.7978793903247183,0.9016475287069395,0.5624619134673979,2026-09-08T14:05:27.875778
A1S3V1,A1,"[0.75, 1.0, 1.25]",3,0.95313238981077,0.9,0.9305555555555556,0.9165526675786594,0.8550185873605948,0.8254675603566083,0.7640449438202247,0.7075208913649025,0.7347107438016529,0.7826771653543307,0.8278611941928667,0.7478046103183315,0.7967263879672639,0.8991512730903645,0.5630712979890311,2026-09-08T16:27:49.216871
A2S3V1,A2,"[0.75, 1.0, 1.25]",3,0.9509964961172505,0.896,0.9282758620689655,0.920656634746922,0.828996282527881,0.8258883755233075,0.762760834670947,0.7075583696082312,0.7388429752066116,0.7779527559055118,0.8212697711507084,0.7423161361141603,0.7963565387117761,0.9166250624063904,0.5295551492992078,2026-09-08T16:42:13.919510
A3S3V1,A3,"[0.75, 1.0, 1.25]",3,0.9447464643331182,0.885,0.9197487787857641,0.9015047879616963,0.8401486988847584,0.8243632459165744,0.7540930979133227,0.6991358994501178,0.7355371900826446,0.7658792650918635,0.8179429515081431,0.7486278814489572,0.7973451327433628,0.8996505242136795,0.5642900670322973,2026-09-09T12:12:53.393370
